Peter I-PER
Blackburn I-PER

BRUSSELS 0
1996-08-22 0

The 0
European 0
Commission 0
said 0
on 0
Thursday 0
it 0
disagreed 0
with 0
German 0
advice 0
to 0
consumers 0
to 0
shun 0
British 0
lamb 0
until 0
scientists 0
determine 0
whether 0
mad 0
cow 0
disease 0
can 0
be 0
transmitted 0
to 0
sheep 0
. 0

Germany 0
's 0
representative 0
to 0
the 0
European 0
Union 0
's 0
veterinary 0
committee 0
Werner I-PER
Zwingmann I-PER
said 0
on 0
Wednesday 0
consumers 0
should 0
buy 0
sheepmeat 0
from 0
countries 0
other 0
than 0
Britain 0
until 0
the 0
scientific 0
advice 0
was 0
clearer 0
. 0

" 0
We 0
do 0
n't 0
support 0
any 0
such 0
recommendation 0
because 0
we 0
do 0
n't 0
see 0
any 0
grounds 0
for 0
it 0
" 0
the 0
Commission 0
's 0
chief 0
spokesman 0
Nikolaus I-PER
van I-PER
der I-PER
Pas I-PER
told 0
a 0
news 0
briefing 0
. 0

He 0
said 0
further 0
scientific 0
study 0
was 0
required 0
and 0
if 0
it 0
was 0
found 0
that 0
action 0
was 0
needed 0
it 0
should 0
be 0
taken 0
by 0
the 0
European 0
Union 0
. 0

He 0
said 0
a 0
proposal 0
last 0
month 0
by 0
EU 0
Farm 0
Commissioner 0
Franz I-PER
Fischler I-PER
to 0
ban 0
sheep 0
brains 0
spleens 0
and 0
spinal 0
cords 0
from 0
the 0
human 0
and 0
animal 0
food 0
chains 0
was 0
a 0
highly 0
specific 0
and 0
precautionary 0
move 0
to 0
protect 0
human 0
health 0
. 0

Fischler I-PER
proposed 0
EU-wide 0
measures 0
after 0
reports 0
from 0
Britain 0
and 0
France 0
that 0
under 0
laboratory 0
conditions 0
sheep 0
could 0
contract 0
Bovine 0
Spongiform 0
Encephalopathy 0
( 0
BSE 0
) 0
-- 0
mad 0
cow 0
disease 0
. 0

But 0
Fischler I-PER
agreed 0
to 0
review 0
his 0
proposal 0
after 0
the 0
EU 0
's 0
standing 0
veterinary 0
committee 0
mational 0
animal 0
health 0
officials 0
questioned 0
if 0
such 0
action 0
was 0
justified 0
as 0
there 0
was 0
only 0
a 0
slight 0
risk 0
to 0
human 0
health 0
. 0

Spanish 0
Farm 0
Minister 0
Loyola I-PER
de I-PER
Palacio I-PER
had 0
earlier 0
accused 0
Fischler I-PER
at 0
an 0
EU 0
farm 0
ministers 0
' 0
meeting 0
of 0
causing 0
unjustified 0
alarm 0
through 0
" 0
dangerous 0
generalisation 0
. 0
" 0

. 0

Only 0
France 0
and 0
Britain 0
backed 0
Fischler I-PER
's 0
proposal 0
. 0

The 0
EU 0
's 0
scientific 0
veterinary 0
and 0
multidisciplinary 0
committees 0
are 0
due 0
to 0
re-examine 0
the 0
issue 0
early 0
next 0
month 0
and 0
make 0
recommendations 0
to 0
the 0
senior 0
veterinary 0
officials 0
. 0

Sheep 0
have 0
long 0
been 0
known 0
to 0
contract 0
scrapie 0
a 0
brain-wasting 0
disease 0
similar 0
to 0
BSE 0
which 0
is 0
believed 0
to 0
have 0
been 0
transferred 0
to 0
cattle 0
through 0
feed 0
containing 0
animal 0
waste 0
. 0

British 0
farmers 0
denied 0
on 0
Thursday 0
there 0
was 0
any 0
danger 0
to 0
human 0
health 0
from 0
their 0
sheep 0
but 0
expressed 0
concern 0
that 0
German 0
government 0
advice 0
to 0
consumers 0
to 0
avoid 0
British 0
lamb 0
might 0
influence 0
consumers 0
across 0
Europe 0
. 0

" 0
What 0
we 0
have 0
to 0
be 0
extremely 0
careful 0
of 0
is 0
how 0
other 0
countries 0
are 0
going 0
to 0
take 0
Germany 0
's 0
lead 0
" 0
Welsh 0
National 0
Farmers 0
' 0
Union 0
( 0
NFU 0
) 0
chairman 0
John I-PER
Lloyd I-PER
Jones I-PER
said 0
on 0
BBC 0
radio 0
. 0

Bonn 0
has 0
led 0
efforts 0
to 0
protect 0
public 0
health 0
after 0
consumer 0
confidence 0
collapsed 0
in 0
March 0
after 0
a 0
British 0
report 0
suggested 0
humans 0
could 0
contract 0
an 0
illness 0
similar 0
to 0
mad 0
cow 0
disease 0
by 0
eating 0
contaminated 0
beef 0
. 0

Germany 0
imported 0
sheep 0
from 0
Britain 0
last 0
year 0
nearly 0
half 0
of 0
total 0
imports 0
. 0

It 0
brought 0
in 0
tonnes 0
of 0
British 0
mutton 0
some 0
10 0
percent 0
of 0
overall 0
imports 0
. 0

Rare 0
Hendrix I-PER
song 0
draft 0
sells 0
for 0
almost 0
$ 0
. 0

LONDON 0
1996-08-22 0

A 0
rare 0
early 0
handwritten 0
draft 0
of 0
a 0
song 0
by 0
U.S. 0
guitar 0
legend 0
Jimi I-PER
Hendrix I-PER
was 0
sold 0
for 0
almost 0
$ 0
on 0
Thursday 0
at 0
an 0
auction 0
of 0
some 0
of 0
the 0
late 0
musician 0
's 0
favourite 0
possessions 0
. 0

A 0
Florida 0
restaurant 0
paid 0
pounds 0
( 0
$ 0
) 0
for 0
the 0
draft 0
of 0
" 0
Ai 0
n't 0
no 0
telling 0
" 0
which 0
Hendrix I-PER
penned 0
on 0
a 0
piece 0
of 0
London 0
hotel 0
stationery 0
in 0
late 0
1966 0
. 0

At 0
the 0
end 0
of 0
a 0
January 0
1967 0
concert 0
in 0
the 0
English 0
city 0
of 0
Nottingham 0
he 0
threw 0
the 0
sheet 0
of 0
paper 0
into 0
the 0
audience 0
where 0
it 0
was 0
retrieved 0
by 0
a 0
fan 0
. 0

Buyers 0
also 0
snapped 0
up 0
16 0
other 0
items 0
that 0
were 0
put 0
up 0
for 0
auction 0
by 0
Hendrix I-PER
's 0
former 0
girlfriend 0
Kathy I-PER
Etchingham I-PER
who 0
lived 0
with 0
him 0
from 0
1966 0
to 0
1969 0
. 0

They 0
included 0
a 0
black 0
lacquer 0
and 0
mother 0
of 0
pearl 0
inlaid 0
box 0
used 0
by 0
Hendrix I-PER
to 0
store 0
his 0
drugs 0
which 0
an 0
anonymous 0
Australian 0
purchaser 0
bought 0
for 0
pounds 0
( 0
$ 0
) 0
. 0

The 0
guitarist 0
died 0
of 0
a 0
drugs 0
overdose 0
in 0
1970 0
aged 0
27 0
. 0

China 0
says 0
Taiwan 0
spoils 0
atmosphere 0
for 0
talks 0
. 0

BEIJING 0
1996-08-22 0

China 0
on 0
Thursday 0
accused 0
Taipei 0
of 0
spoiling 0
the 0
atmosphere 0
for 0
a 0
resumption 0
of 0
talks 0
across 0
the 0
Taiwan 0
Strait 0
with 0
a 0
visit 0
to 0
Ukraine 0
by 0
Taiwanese 0
Vice 0
President 0
Lien I-PER
Chan I-PER
this 0
week 0
that 0
infuriated 0
Beijing 0
. 0

Speaking 0
only 0
hours 0
after 0
Chinese 0
state 0
media 0
said 0
the 0
time 0
was 0
right 0
to 0
engage 0
in 0
political 0
talks 0
with 0
Taiwan 0
Foreign 0
Ministry 0
spokesman 0
Shen I-PER
Guofang I-PER
told 0
Reuters 0
: 0
" 0
The 0
necessary 0
atmosphere 0
for 0
the 0
opening 0
of 0
the 0
talks 0
has 0
been 0
disrupted 0
by 0
the 0
Taiwan 0
authorities 0
. 0
" 0

State 0
media 0
quoted 0
China 0
's 0
top 0
negotiator 0
with 0
Taipei 0
Tang I-PER
Shubei I-PER
as 0
telling 0
a 0
visiting 0
group 0
from 0
Taiwan 0
on 0
Wednesday 0
that 0
it 0
was 0
time 0
for 0
the 0
rivals 0
to 0
hold 0
political 0
talks 0
. 0

" 0
Now 0
is 0
the 0
time 0
for 0
the 0
two 0
sides 0
to 0
engage 0
in 0
political 0
talks 0
... 0

that 0
is 0
to 0
end 0
the 0
state 0
of 0
hostility 0
" 0
Thursday 0
's 0
overseas 0
edition 0
of 0
the 0
People 0
's 0
Daily 0
quoted 0
Tang I-PER
as 0
saying 0
. 0

The 0
foreign 0
ministry 0
's 0
Shen 0
told 0
Reuters 0
Television 0
in 0
an 0
interview 0
he 0
had 0
read 0
reports 0
of 0
Tang I-PER
's 0
comments 0
but 0
gave 0
no 0
details 0
of 0
why 0
the 0
negotiator 0
had 0
considered 0
the 0
time 0
right 0
for 0
talks 0
with 0
Taiwan 0
which 0
Beijing 0
considers 0
