description	TRUE	dict+rule	Stanza	TJBatch	transformer-bert	spacy	ht-bert	fine-tuned-bert	whole-mask-bert
EU rejects German call to boycott British lamb .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Peter Blackburn	['Peter', 'Blackburn']	[]	['Peter Blackburn']	set()	['Peter', 'Blackburn']	['peter blackburn']	['Peter', 'Blackburn']	['Peter', 'Blackburn']	['Peter', 'peter']
BRUSSELS 1996-08-22	[]	[]	[]	set()	[]	[]	[]	[]	[]
The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .	['Werner', 'Zwingmann']	['britain']	['Werner Zwingmann']	set()	['Werner', 'Zwingmann']	['werner zwingmann']	['Werner', 'Zwingmann']	['Werner', 'Zwingmann']	['Zwingmann', 'Werner', 'werner', 'zwingmann']
""" We do n't support any such recommendation because we do n't see any grounds for it , "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing ."	['Nikolaus', 'van', 'der', 'Pas']	[]	['Nikolaus van der Pas']	set()	['Nikolaus', 'van', 'der', 'Pas']	['nikolaus van der pas']	['Nikolaus', 'van', 'der', 'Pas']	['Nikolaus', 'van', 'der', 'Pas']	['Nikolaus', 'der', 'van', 'Pas', 'nikolaus', 'van', 'der', 'pas']
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .	[]	[]	[]	set()	[]	[]	[]	[]	[]
He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .	['Franz', 'Fischler']	[]	['Franz Fischler']	set()	['Franz', 'Fischler']	['franz fischler']	['Franz', 'Fischler']	['Franz', 'Fischler']	['Fischler', 'Franz', 'franz', 'fischler']
Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .	['Fischler']	['britain']	['Fischler']	set()	['Fischler']	['fischler']	['Fischler']	['Fischler']	['Fischler', 'fischler']
But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .	['Fischler']	[]	[]	set()	['Fischler']	['fischler']	['Fischler']	['Fischler']	['Fischler', 'fischler']
"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """	['Loyola', 'de', 'Palacio', 'Fischler']	[]	['Loyola de Palacio', 'Fischler']	set()	['Loyola', 'de', 'Palacio', 'Fischler']	['loyola de palacio', 'fischler']	['Loyola', 'de', 'Palacio', 'Fischler']	['Loyola', 'de', 'Palacio', 'Fischler']	['Loyola', 'Palacio', 'Fischler', 'de', 'loyola', 'de', 'palacio', 'fischler']
.	[]	[]	[]	set()	[]	[]	[]	[]	[]
Only France and Britain backed Fischler 's proposal .	['Fischler']	['britain']	[]	set()	['Fischler']	['fischler']	['Fischler']	['Fischler']	['Fischler', 'fischler']
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .	[]	[]	[]	set()	[]	[]	[]	[]	[]
British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio ."	['John', 'Lloyd', 'Jones']	[]	['John Lloyd Jones']	set()	['John', 'Lloyd', 'Jones']	['john lloyd jones']	['John', 'Lloyd', 'Jones']	['John', 'Lloyd', 'Jones']	['John', 'Lloyd', 'john', 'lloyd']
Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Germany imported 47,600 sheep from Britain last year , nearly half of total imports .	[]	['britain']	[]	set()	[]	[]	[]	[]	[]
It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Rare Hendrix song draft sells for almost $ 17,000 .	['Hendrix']	['hendrix']	[]	set()	['Hendrix']	['hendrix']	['Hendrix']	['Hendrix']	['Hendrix', 'hendrix']
LONDON 1996-08-22	[]	[]	[]	['london']	[]	[]	[]	[]	[]
A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .	['Jimi', 'Hendrix']	['hendrix']	['Jimi Hendrix']	set()	['Jimi', 'Hendrix']	['jimi hendrix']	['Jimi', 'Hendrix']	['Jimi', 'Hendrix']	['Jimi', 'jimi']
"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 ."	['Hendrix']	['hendrix']	['Hendrix']	['london']	['Hendrix']	['hendrix']	['Hendrix']	['Hendrix']	['Hendrix', 'hendrix']
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	[]	[]	[]	set()	[]	[]	[]	[]	[]
