description	true_names
Peter Blackburn 	['Peter', 'Blackburn']
BRUSSELS 1996-08-22 	[]
The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep . 	[]
Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer . 	['Werner', 'Zwingmann']
""" We do n't support any such recommendation because we do n't see any grounds for it "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing . "	['Nikolaus', 'van', 'der', 'Pas']
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union . 	[]
He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health . 	['Franz', 'Fischler']
Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease . 	['Fischler']
But Fischler agreed to review his proposal after the EU 's standing veterinary committee mational animal health officials questioned if such action was justified as there was only a slight risk to human health . 	['Fischler']
"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . "" "	['Loyola', 'de', 'Palacio', 'Fischler']
. 	[]
Only France and Britain backed Fischler 's proposal . 	['Fischler']
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials . 	[]
Sheep have long been known to contract scrapie a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste . 	[]
British farmers denied on Thursday there was any danger to human health from their sheep but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe . 	[]
""" What we have to be extremely careful of is how other countries are going to take Germany 's lead "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio . "	['John', 'Lloyd', 'Jones']
Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef . 	[]
Germany imported sheep from Britain last year nearly half of total imports . 	[]
It brought in tonnes of British mutton some 10 percent of overall imports . 	[]
Rare Hendrix song draft sells for almost $ . 	['Hendrix']
LONDON 1996-08-22 	[]
A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ on Thursday at an auction of some of the late musician 's favourite possessions . 	['Jimi', 'Hendrix']
"A Florida restaurant paid pounds ( $ ) for the draft of "" Ai n't no telling "" which Hendrix penned on a piece of London hotel stationery in late 1966 . "	['Hendrix']
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience where it was retrieved by a fan . 	[]
Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham who lived with him from 1966 to 1969 . 	['Hendrix', 'Kathy', 'Etchingham']
